step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
211000,1314036,5,5,4.75
212000,1314036,5,5,4.85
213000,1314036,5,5,4.89
214000,1314036,5,5,4.8
215000,1314036,5,5,5.05
216000,1314036,5,5,4.9
217000,1314036,5,5,4.91
218000,1314036,5,5,4.88
219000,1314036,5,5,4.88
220000,1314036,5,5,4.91
221000,1314036,5,5,4.92
222000,1314036,5,5,4.95
223000,1314036,5,5,4.96
224000,1314036,5,5,4.57
225000,1314036,5,5,4.52
226000,1314036,5,5,4.71
227000,1314036,5,5,4.6
228000,1314036,5,5,4.65
229000,1314036,5,5,4.65
230000,1314036,5,5,4.73
231000,1314036,5,5,4.7
232000,1314036,5,5,4.71
233000,1314036,5,5,4.73
234000,1314036,5,5,4.65
235000,1314036,5,5,5.01
236000,1314036,5,5,4.66
237000,1314036,5,5,4.64
238000,1314036,5,5,4.74
239000,1314036,5,5,4.65
240000,1314036,5,5,5.0
241000,1314036,5,5,4.75
242000,1314036,5,5,4.79
243000,1314036,5,5,4.89
244000,1314036,5,5,4.67
245000,1314036,5,5,4.82
246000,1314036,5,5,4.77
247000,1314036,5,5,4.87
248000,1314036,5,5,4.91
249000,1314036,5,5,4.93
250000,1314036,5,5,4.88
251000,1314036,5,5,4.71
252000,1314036,5,5,4.86
253000,1314036,5,5,4.86
254000,1314036,5,5,4.93
255000,1314036,5,5,4.93
256000,1314036,5,5,4.63
257000,1314036,5,5,4.61
258000,1314036,5,5,4.67
259000,1314036,5,5,4.67
260000,1314036,5,5,4.71
261000,1314036,5,5,4.68
262000,1314036,5,5,4.71
263000,1314036,5,5,4.75
264000,1314036,5,5,4.8
265000,1314036,5,5,4.74
266000,1314036,5,5,4.88
267000,1314036,5,5,4.82
268000,1314036,5,5,4.73
269000,1314036,5,5,4.82
270000,1314036,5,5,4.92
271000,1314036,5,5,4.93
272000,1314036,5,5,4.7
273000,1314036,5,5,4.69
274000,1314036,5,5,4.78
275000,1314036,5,5,4.68
276000,1314036,5,5,4.74
277000,1314036,5,5,4.81
278000,1314036,5,5,4.88
279000,1314036,5,5,4.9
280000,1314036,5,5,4.92
281000,1314036,5,5,5.01
282000,1314036,5,5,4.91
283000,1314036,5,5,4.85
284000,1314036,5,5,4.91
285000,1314036,5,5,4.85
286000,1314036,5,5,4.93
287000,1314036,5,5,4.98
288000,1314036,5,5,4.75
289000,1314036,5,5,4.74
290000,1314036,5,5,4.78
291000,1314036,5,5,4.75
292000,1314036,5,5,4.77
293000,1314036,5,5,4.81
294000,1314036,5,5,4.79
295000,1314036,5,5,4.88
296000,1314036,5,5,4.87
297000,1314036,5,5,4.92
298000,1314036,5,5,4.88
299000,1314036,5,5,4.89
300000,1314036,5,5,4.89
301000,1314036,5,5,4.87
302000,1314036,5,5,4.87
303000,1314036,5,5,4.96
304000,1314036,5,5,4.81
305000,1314036,5,5,4.82
306000,1314036,5,5,4.79
307000,1314036,5,5,4.8
308000,1314036,5,5,4.8
309000,1314036,5,5,4.74
310000,1314036,5,5,4.78
311000,1314036,5,5,4.8
312000,1314036,5,5,4.82
313000,1314036,5,5,4.79
314000,1314036,5,5,4.85
315000,1314036,5,5,4.83
316000,1314036,5,5,4.87
317000,1314036,5,5,4.86
318000,1314036,5,5,4.79
319000,1314036,5,5,4.86
320000,1314036,5,5,4.66
321000,1314036,5,5,4.64
322000,1314036,5,5,4.73
323000,1314036,5,5,4.72
324000,1314036,5,5,4.68
325000,1314036,5,5,4.67
326000,1314036,5,5,4.56
327000,1314036,5,5,4.86
328000,1314036,5,5,4.78
329000,1314036,5,5,4.7
330000,1314036,5,5,4.76
331000,1314036,5,5,4.81
332000,1314036,5,5,4.76
333000,1314036,5,5,4.75
334000,1314036,5,5,4.82
335000,1314036,5,5,4.63
336000,1314036,5,5,4.64
337000,1314036,5,5,4.88
338000,1314036,5,5,4.76
339000,1314036,5,5,4.77
340000,1314036,5,5,4.73
341000,1314036,5,5,4.66
342000,1314036,5,5,4.61
343000,1314036,5,5,4.75
344000,1314036,5,5,4.73
345000,1314036,5,5,4.81
346000,1314036,5,5,4.74
347000,1314036,5,5,4.75
348000,1314036,5,5,4.71
349000,1314036,5,5,4.69
350000,1314036,5,5,4.64
351000,1314036,5,5,4.67
352000,1314036,5,5,4.79
353000,1314036,5,5,4.81
354000,1314036,5,5,4.71
355000,1314036,5,5,4.76
356000,1314036,5,5,4.55
357000,1314036,5,5,4.73
358000,1314036,5,5,4.71
359000,1314036,5,5,4.92
360000,1314036,5,5,4.94
361000,1314036,5,5,4.7
362000,1314036,5,5,4.95
363000,1314036,5,5,4.98
364000,1314036,5,5,4.97
365000,1314036,5,5,4.86
366000,1314036,5,5,4.57
367000,1314036,5,5,4.61
368000,1314036,5,5,4.97
369000,1314036,5,5,4.99
370000,1314036,5,5,4.62
371000,1314036,5,5,4.6
372000,1314036,5,5,4.8
373000,1314036,5,5,4.68
374000,1314036,5,5,4.65
375000,1314036,5,5,4.89
376000,1314036,5,5,4.81
377000,1314036,5,5,4.91
378000,1314036,5,5,4.83
379000,1314036,5,5,4.81
380000,1314036,5,5,4.77
381000,1314036,5,5,4.8
382000,1314036,5,5,4.93
383000,1314036,5,5,4.87
384000,1314036,5,5,4.79
385000,1314036,5,5,4.84
386000,1314036,5,5,4.91
387000,1314036,5,5,4.97
388000,1314036,5,5,4.87
389000,1314036,5,5,4.95
390000,1314036,5,5,4.88
391000,1314036,5,5,4.98
392000,1314036,5,5,4.96
393000,1314036,5,5,5.06
394000,1314036,5,5,5.07
395000,1314036,5,5,5.04
396000,1314036,5,5,5.13
397000,1314036,5,5,5.12
398000,1314036,5,5,4.74
399000,1314036,5,5,4.65
400000,1314036,5,5,5.08
401000,1314036,5,5,5.1
402000,1314036,5,5,4.62
403000,1314036,5,5,4.59
404000,1314036,5,5,4.7
405000,1314036,5,5,4.58
406000,1314036,5,5,4.58
407000,1314036,5,5,4.61
408000,1314036,5,5,4.72
409000,1314036,5,5,4.67
410000,1314036,5,5,4.83
411000,1314036,5,5,4.75
412000,1314036,5,5,4.99
413000,1314036,5,5,4.77
414000,1314036,5,5,4.76
415000,1314036,5,5,4.79
416000,1314036,5,5,4.67
417000,1314036,5,5,4.83
