step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,4.28
5000,1314036,362,362,5.11
10000,1314036,387,387,4.96
15000,1314036,93,93,5.01
20000,1314036,9,9,5.18
25000,1314036,9,9,4.98
30000,1314036,9,9,5.12
35000,1314036,9,9,5.09
40000,1314036,9,9,5.08
45000,1314036,9,9,5.09
50000,1314036,9,9,5.08
55000,1314036,9,9,5.15
60000,1314036,9,9,5.11
65000,1314036,9,9,5.29
70000,1314036,9,9,5.15
75000,1314036,9,9,5.13
80000,1314036,9,9,4.58
85000,1314036,9,9,4.56
90000,1314036,9,9,5.03
95000,1314036,9,9,4.63
100000,1314036,9,9,4.68
