step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,4.6
1000,1314036,5,5,5.06
2000,1314036,29,29,5.32
3000,1314036,37,37,5.36
4000,1314036,10,10,5.41
5000,1314036,4,4,5.41
6000,1314036,3,3,5.4
7000,1314036,3,3,5.39
8000,1314036,3,3,5.43
9000,1314036,3,3,5.36
10000,1314036,3,3,5.47
11000,1314036,3,3,5.29
12000,1314036,3,3,5.36
13000,1314036,3,3,5.38
14000,1314036,3,3,5.33
15000,1314036,3,3,5.33
16000,1314036,3,3,4.91
17000,1314036,3,3,4.98
18000,1314036,3,3,5.01
19000,1314036,3,3,5.21
20000,1314036,3,3,5.1
21000,1314036,3,3,5.08
22000,1314036,3,3,5.06
23000,1314036,3,3,5.07
24000,1314036,3,3,5.11
25000,1314036,3,3,5.19
26000,1314036,3,3,5.11
27000,1314036,3,3,5.18
28000,1314036,3,3,5.16
29000,1314036,3,3,5.22
30000,1314036,3,3,5.12
31000,1314036,3,3,5.1
32000,1314036,3,3,4.87
33000,1314036,3,3,4.73
34000,1314036,3,3,4.89
35000,1314036,3,3,5.01
36000,1314036,3,3,4.99
37000,1314036,3,3,5.05
38000,1314036,3,3,5.0
39000,1314036,3,3,5.05
40000,1314036,3,3,5.09
41000,1314036,3,3,5.02
42000,1314036,3,3,5.14
43000,1314036,3,3,5.12
44000,1314036,3,3,5.1
45000,1314036,3,3,5.0
46000,1314036,3,3,5.04
47000,1314036,3,3,5.06
48000,1314036,3,3,4.83
49000,1314036,3,3,4.66
50000,1314036,3,3,4.79
51000,1314036,3,3,4.99
52000,1314036,3,3,5.15
53000,1314036,3,3,4.97
54000,1314036,3,3,4.92
55000,1314036,3,3,4.9
56000,1314036,3,3,4.92
57000,1314036,3,3,5.26
58000,1314036,3,3,5.09
59000,1314036,3,3,5.2
60000,1314036,3,3,5.04
61000,1314036,3,3,5.26
62000,1314036,3,3,5.14
63000,1314036,3,3,5.07
64000,1314036,3,3,4.88
65000,1314036,3,3,4.79
66000,1314036,3,3,4.87
67000,1314036,3,3,4.93
68000,1314036,3,3,4.99
69000,1314036,2,2,5.01
70000,1314036,2,2,5.02
71000,1314036,2,2,5.05
72000,1314036,2,2,4.98
73000,1314036,2,2,4.99
74000,1314036,2,2,4.97
75000,1314036,2,2,5.12
76000,1314036,2,2,5.08
77000,1314036,2,2,5.1
78000,1314036,2,2,5.06
79000,1314036,2,2,5.02
80000,1314036,2,2,5.01
81000,1314036,2,2,5.05
82000,1314036,2,2,5.13
83000,1314036,2,2,5.23
84000,1314036,2,2,5.14
85000,1314036,2,2,5.2
86000,1314036,2,2,5.15
87000,1314036,2,2,5.23
88000,1314036,2,2,5.13
89000,1314036,2,2,5.14
90000,1314036,2,2,5.07
91000,1314036,2,2,5.24
92000,1314036,2,2,5.04
93000,1314036,2,2,5.11
94000,1314036,2,2,5.16
95000,1314036,2,2,5.29
96000,1314036,2,2,4.97
97000,1314036,2,2,4.96
98000,1314036,2,2,4.9
99000,1314036,2,2,5.1
100000,1314036,2,2,5.07
101000,1314036,2,2,5.06
102000,1314036,2,2,5.22
103000,1314036,2,2,5.05
104000,1314036,2,2,5.26
105000,1314036,2,2,5.37
106000,1314036,2,2,5.16
107000,1314036,2,2,5.08
108000,1314036,2,2,5.25
109000,1314036,2,2,5.11
110000,1314036,2,2,5.2
111000,1314036,2,2,5.07
112000,1314036,2,2,5.18
113000,1314036,2,2,5.01
114000,1314036,2,2,4.96
115000,1314036,2,2,5.16
116000,1314036,2,2,5.13
117000,1314036,2,2,5.03
118000,1314036,2,2,5.2
119000,1314036,2,2,5.22
120000,1314036,2,2,5.22
121000,1314036,2,2,5.44
122000,1314036,2,2,5.2
123000,1314036,2,2,5.2
124000,1314036,2,2,5.29
125000,1314036,2,2,5.38
126000,1314036,2,2,5.25
127000,1314036,2,2,5.29
128000,1314036,2,2,4.8
129000,1314036,2,2,4.72
130000,1314036,2,2,4.67
131000,1314036,2,2,4.71
132000,1314036,2,2,4.69
133000,1314036,2,2,4.77
134000,1314036,2,2,4.83
135000,1314036,2,2,4.91
136000,1314036,2,2,4.81
137000,1314036,2,2,4.73
138000,1314036,2,2,4.78
139000,1314036,2,2,4.86
140000,1314036,2,2,4.85
141000,1314036,2,2,4.78
142000,1314036,2,2,4.8
143000,1314036,2,2,4.78
144000,1314036,2,2,4.94
145000,1314036,2,2,5.03
146000,1314036,2,2,4.95
147000,1314036,2,2,5.11
148000,1314036,2,2,5.08
149000,1314036,2,2,5.16
150000,1314036,2,2,5.16
151000,1314036,2,2,5.29
152000,1314036,2,2,5.21
153000,1314036,2,2,5.24
154000,1314036,2,2,5.24
155000,1314036,2,2,5.25
156000,1314036,2,2,5.26
157000,1314036,2,2,5.39
158000,1314036,2,2,5.26
159000,1314036,2,2,5.26
160000,1314036,2,2,4.7
161000,1314036,2,2,4.76
162000,1314036,2,2,4.72
163000,1314036,2,2,4.8
164000,1314036,2,2,4.78
165000,1314036,2,2,4.77
166000,1314036,2,2,4.78
167000,1314036,2,2,4.85
168000,1314036,2,2,4.84
169000,1314036,2,2,4.93
170000,1314036,2,2,4.89
171000,1314036,2,2,4.94
172000,1314036,2,2,4.86
173000,1314036,2,2,4.98
174000,1314036,2,2,4.89
175000,1314036,2,2,5.02
176000,1314036,2,2,5.05
177000,1314036,2,2,5.14
178000,1314036,2,2,5.13
179000,1314036,2,2,5.17
180000,1314036,2,2,5.21
181000,1314036,2,2,5.19
182000,1314036,2,2,5.54
183000,1314036,2,2,5.32
184000,1314036,2,2,5.17
185000,1314036,2,2,5.35
186000,1314036,2,2,5.2
187000,1314036,2,2,5.31
188000,1314036,2,2,5.43
189000,1314036,2,2,5.26
190000,1314036,2,2,5.35
191000,1314036,2,2,5.23
192000,1314036,2,2,5.03
193000,1314036,2,2,4.97
194000,1314036,2,2,4.99
195000,1314036,2,2,5.1
196000,1314036,2,2,5.06
197000,1314036,2,2,4.97
198000,1314036,2,2,5.01
199000,1314036,2,2,5.13
200000,1314036,2,2,5.04
201000,1314036,2,2,4.99
202000,1314036,2,2,5.16
203000,1314036,2,2,5.04
204000,1314036,2,2,5.05
205000,1314036,2,2,5.15
206000,1314036,2,2,5.13
207000,1314036,2,2,5.15
208000,1314036,2,2,4.94
209000,1314036,2,2,5.0
210000,1314036,2,2,4.98
211000,1314036,2,2,4.97
212000,1314036,2,2,5.05
213000,1314036,2,2,5.22
214000,1314036,2,2,4.98
215000,1314036,2,2,4.93
216000,1314036,2,2,5.09
217000,1314036,2,2,4.85
218000,1314036,2,2,4.97
219000,1314036,2,2,4.95
220000,1314036,2,2,4.92
221000,1314036,2,2,5.03
222000,1314036,2,2,5.02
223000,1314036,2,2,5.07
224000,1314036,2,2,4.65
225000,1314036,2,2,4.74
226000,1314036,2,2,4.72
227000,1314036,2,2,4.77
228000,1314036,2,2,4.77
229000,1314036,2,2,4.75
230000,1314036,2,2,4.83
231000,1314036,2,2,4.73
232000,1314036,2,2,4.86
233000,1314036,2,2,4.87
234000,1314036,2,2,4.84
235000,1314036,2,2,4.85
236000,1314036,2,2,4.8
237000,1314036,2,2,4.71
238000,1314036,2,2,4.75
239000,1314036,2,2,4.84
240000,1314036,2,2,4.82
241000,1314036,2,2,4.98
242000,1314036,2,2,4.81
243000,1314036,2,2,5.12
244000,1314036,2,2,4.96
245000,1314036,2,2,5.04
246000,1314036,2,2,5.03
247000,1314036,2,2,4.98
248000,1314036,2,2,5.07
249000,1314036,2,2,5.1
250000,1314036,2,2,4.99
251000,1314036,2,2,5.02
252000,1314036,2,2,4.97
253000,1314036,2,2,5.1
254000,1314036,2,2,5.25
255000,1314036,2,2,5.24
256000,1314036,2,2,4.77
257000,1314036,2,2,4.86
258000,1314036,2,2,4.96
259000,1314036,2,2,5.26
260000,1314036,2,2,4.99
261000,1314036,2,2,5.0
262000,1314036,2,2,4.96
263000,1314036,2,2,5.07
264000,1314036,2,2,5.26
265000,1314036,2,2,5.05
266000,1314036,2,2,5.18
267000,1314036,2,2,5.02
268000,1314036,2,2,5.14
269000,1314036,2,2,5.15
270000,1314036,2,2,5.0
271000,1314036,2,2,5.07
272000,1314036,2,2,4.92
273000,1314036,2,2,5.01
274000,1314036,2,2,4.99
275000,1314036,2,2,5.05
276000,1314036,2,2,5.08
277000,1314036,2,2,5.01
278000,1314036,2,2,5.03
279000,1314036,2,2,5.01
280000,1314036,2,2,5.1
281000,1314036,2,2,5.06
282000,1314036,2,2,5.03
283000,1314036,2,2,5.08
284000,1314036,2,2,5.06
285000,1314036,2,2,5.0
286000,1314036,2,2,5.03
287000,1314036,2,2,5.07
288000,1314036,2,2,4.95
289000,1314036,2,2,4.98
290000,1314036,2,2,4.98
291000,1314036,2,2,4.98
292000,1314036,2,2,5.0
293000,1314036,2,2,5.05
294000,1314036,2,2,5.02
295000,1314036,2,2,5.03
296000,1314036,2,2,5.22
297000,1314036,2,2,5.13
298000,1314036,2,2,5.27
299000,1314036,2,2,5.18
300000,1314036,2,2,5.13
301000,1314036,2,2,5.1
302000,1314036,2,2,5.13
303000,1314036,2,2,5.04
304000,1314036,2,2,4.92
305000,1314036,2,2,4.94
306000,1314036,2,2,4.91
307000,1314036,2,2,4.99
308000,1314036,2,2,4.91
309000,1314036,2,2,4.97
310000,1314036,2,2,4.78
311000,1314036,2,2,4.93
312000,1314036,2,2,4.9
313000,1314036,2,2,5.01
314000,1314036,2,2,5.01
315000,1314036,2,2,4.96
316000,1314036,2,2,5.02
317000,1314036,2,2,5.0
318000,1314036,2,2,5.14
319000,1314036,2,2,5.0
320000,1314036,2,2,4.78
321000,1314036,2,2,4.85
322000,1314036,2,2,5.09
323000,1314036,2,2,4.88
324000,1314036,2,2,4.87
325000,1314036,2,2,4.88
326000,1314036,2,2,4.74
327000,1314036,2,2,4.85
328000,1314036,2,2,4.88
329000,1314036,2,2,4.95
330000,1314036,2,2,4.92
331000,1314036,2,2,4.96
332000,1314036,2,2,5.07
333000,1314036,2,2,4.96
334000,1314036,2,2,4.97
335000,1314036,2,2,4.94
336000,1314036,2,2,4.87
337000,1314036,2,2,4.77
338000,1314036,2,2,4.96
339000,1314036,2,2,4.82
340000,1314036,2,2,4.91
341000,1314036,2,2,4.8
342000,1314036,2,2,5.0
343000,1314036,2,2,4.84
344000,1314036,2,2,4.89
345000,1314036,2,2,4.92
346000,1314036,2,2,5.05
347000,1314036,2,2,4.98
348000,1314036,2,2,4.92
349000,1314036,2,2,4.86
350000,1314036,2,2,5.08
351000,1314036,2,2,5.06
352000,1314036,2,2,5.12
353000,1314036,2,2,4.98
354000,1314036,2,2,4.77
355000,1314036,2,2,5.01
356000,1314036,2,2,5.05
357000,1314036,2,2,5.1
358000,1314036,2,2,4.86
359000,1314036,2,2,5.03
360000,1314036,2,2,5.04
361000,1314036,2,2,5.08
362000,1314036,2,2,5.12
363000,1314036,2,2,5.23
364000,1314036,2,2,5.08
365000,1314036,2,2,5.17
366000,1314036,2,2,4.9
367000,1314036,2,2,5.21
368000,1314036,2,2,5.16
369000,1314036,2,2,4.85
370000,1314036,2,2,5.01
371000,1314036,2,2,4.92
372000,1314036,2,2,4.91
373000,1314036,2,2,5.09
374000,1314036,2,2,4.88
375000,1314036,2,2,4.91
376000,1314036,2,2,4.86
377000,1314036,2,2,4.83
378000,1314036,2,2,4.89
379000,1314036,2,2,4.9
380000,1314036,2,2,4.93
381000,1314036,2,2,4.83
382000,1314036,2,2,5.13
383000,1314036,2,2,4.92
384000,1314036,2,2,4.89
385000,1314036,2,2,5.24
386000,1314036,2,2,5.12
387000,1314036,2,2,5.1
388000,1314036,2,2,5.11
389000,1314036,2,2,5.19
390000,1314036,2,2,5.16
391000,1314036,2,2,5.1
392000,1314036,2,2,5.13
393000,1314036,2,2,5.15
394000,1314036,2,2,5.19
395000,1314036,2,2,5.23
396000,1314036,2,2,5.21
397000,1314036,2,2,5.13
398000,1314036,2,2,4.76
399000,1314036,2,2,5.18
400000,1314036,2,2,5.2
401000,1314036,2,2,4.85
402000,1314036,2,2,4.84
403000,1314036,2,2,4.77
404000,1314036,2,2,4.63
405000,1314036,2,2,4.73
406000,1314036,2,2,4.92
407000,1314036,2,2,4.67
408000,1314036,2,2,4.67
409000,1314036,2,2,4.79
410000,1314036,2,2,4.71
411000,1314036,2,2,4.82
412000,1314036,2,2,4.79
413000,1314036,2,2,4.98
414000,1314036,2,2,4.77
415000,1314036,2,2,4.81
416000,1314036,2,2,4.78
417000,1314036,2,2,5.18
418000,1314036,2,2,4.84
419000,1314036,2,2,4.99
420000,1314036,2,2,4.91
421000,1314036,2,2,5.01
422000,1314036,2,2,4.96
423000,1314036,2,2,4.75
424000,1314036,2,2,4.98
425000,1314036,2,2,5.06
426000,1314036,2,2,4.98
427000,1314036,2,2,5.02
428000,1314036,2,2,5.11
429000,1314036,2,2,5.11
430000,1314036,2,2,4.86
431000,1314036,2,2,5.07
432000,1314036,2,2,5.07
433000,1314036,2,2,4.86
434000,1314036,2,2,5.08
435000,1314036,2,2,4.87
436000,1314036,2,2,4.94
437000,1314036,2,2,4.96
438000,1314036,2,2,5.16
