step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,9.29
5000,1314036,394,394,10.31
10000,1314036,224,224,10.4
15000,1314036,43,43,10.33
20000,1314036,10,10,10.38
25000,1314036,10,10,10.27
30000,1314036,10,10,10.29
35000,1314036,10,10,10.46
40000,1314036,10,10,11.31
45000,1314036,10,10,10.18
50000,1314036,10,10,10.74
55000,1314036,10,10,10.86
60000,1314036,10,10,10.89
65000,1314036,10,10,10.6
70000,1314036,10,10,11.14
75000,1314036,10,10,11.25
80000,1314036,10,10,6.58
85000,1314036,10,10,6.21
90000,1314036,10,10,6.17
95000,1314036,10,10,6.15
100000,1314036,10,10,6.16
