step,n_atoms_def,n_vacancies,n_interstitials,elapsed_s
0,1314036,0,0,4.49
1000,1314036,2,2,5.21
2000,1314036,5,5,5.47
3000,1314036,22,22,5.51
4000,1314036,87,87,5.55
5000,1314036,253,253,5.57
6000,1314036,739,739,5.63
7000,1314036,1612,1612,5.62
8000,1314036,2114,2114,5.67
9000,1314036,1450,1450,5.58
10000,1314036,636,636,5.69
11000,1314036,418,418,5.63
12000,1314036,364,364,5.63
13000,1314036,280,280,5.64
14000,1314036,210,210,5.54
15000,1314036,171,171,5.47
16000,1314036,127,127,4.92
17000,1314036,92,92,4.98
18000,1314036,54,54,5.1
19000,1314036,36,36,4.99
20000,1314036,22,22,4.97
21000,1314036,19,19,5.15
22000,1314036,19,19,5.07
23000,1314036,19,19,5.08
24000,1314036,19,19,5.03
25000,1314036,19,19,5.1
26000,1314036,20,20,5.06
27000,1314036,19,19,5.05
28000,1314036,19,19,5.01
29000,1314036,19,19,4.97
30000,1314036,19,19,5.07
31000,1314036,19,19,5.0
32000,1314036,19,19,5.0
33000,1314036,19,19,4.91
34000,1314036,19,19,4.94
35000,1314036,19,19,5.16
36000,1314036,19,19,5.07
37000,1314036,19,19,5.18
38000,1314036,19,19,5.16
39000,1314036,19,19,5.09
40000,1314036,19,19,5.15
41000,1314036,19,19,5.16
42000,1314036,19,19,5.12
43000,1314036,19,19,5.12
44000,1314036,19,19,5.15
45000,1314036,19,19,5.08
46000,1314036,19,19,5.19
47000,1314036,19,19,5.13
48000,1314036,19,19,4.83
49000,1314036,19,19,4.93
50000,1314036,19,19,4.95
51000,1314036,19,19,4.92
52000,1314036,19,19,5.0
53000,1314036,19,19,4.99
54000,1314036,19,19,5.02
55000,1314036,19,19,5.07
56000,1314036,19,19,5.06
57000,1314036,19,19,5.02
58000,1314036,19,19,5.13
59000,1314036,19,19,5.07
60000,1314036,19,19,5.06
61000,1314036,19,19,5.09
62000,1314036,19,19,5.07
63000,1314036,19,19,5.04
64000,1314036,19,19,4.91
65000,1314036,19,19,4.96
66000,1314036,19,19,4.99
67000,1314036,19,19,5.1
68000,1314036,19,19,6.49
69000,1314036,19,19,5.12
70000,1314036,19,19,5.02
71000,1314036,19,19,4.92
72000,1314036,19,19,5.03
73000,1314036,19,19,5.86
74000,1314036,19,19,5.08
75000,1314036,19,19,5.21
76000,1314036,19,19,5.04
77000,1314036,19,19,5.08
78000,1314036,19,19,5.87
79000,1314036,19,19,5.37
80000,1314036,19,19,4.88
81000,1314036,19,19,4.96
82000,1314036,19,19,5.1
83000,1314036,19,19,5.02
84000,1314036,19,19,4.93
85000,1314036,19,19,4.99
86000,1314036,19,19,4.96
87000,1314036,19,19,4.92
88000,1314036,19,19,5.07
89000,1314036,19,19,4.96
90000,1314036,19,19,4.99
91000,1314036,19,19,4.9
92000,1314036,19,19,4.98
93000,1314036,19,19,4.97
94000,1314036,19,19,4.99
95000,1314036,19,19,4.94
96000,1314036,19,19,4.87
97000,1314036,19,19,4.91
98000,1314036,19,19,4.94
99000,1314036,19,19,4.93
100000,1314036,19,19,5.1
101000,1314036,19,19,4.96
102000,1314036,19,19,5.91
103000,1314036,19,19,5.87
104000,1314036,19,19,6.0
105000,1314036,19,19,5.06
106000,1314036,19,19,5.04
107000,1314036,19,19,4.96
108000,1314036,19,19,4.92
109000,1314036,19,19,5.72
110000,1314036,19,19,4.88
111000,1314036,19,19,4.98
112000,1314036,19,19,4.96
113000,1314036,19,19,5.05
114000,1314036,19,19,5.13
115000,1314036,19,19,5.19
116000,1314036,19,19,5.09
117000,1314036,19,19,5.06
118000,1314036,19,19,5.2
119000,1314036,19,19,5.03
120000,1314036,19,19,5.14
121000,1314036,19,19,5.03
122000,1314036,19,19,4.98
123000,1314036,19,19,4.94
124000,1314036,19,19,4.98
125000,1314036,19,19,5.05
126000,1314036,19,19,5.09
127000,1314036,19,19,4.99
128000,1314036,19,19,4.76
129000,1314036,19,19,4.84
130000,1314036,19,19,4.85
131000,1314036,19,19,4.79
132000,1314036,19,19,4.88
133000,1314036,19,19,4.92
134000,1314036,19,19,4.82
135000,1314036,19,19,4.89
136000,1314036,19,19,4.95
137000,1314036,19,19,4.86
138000,1314036,19,19,4.75
139000,1314036,19,19,4.76
140000,1314036,19,19,4.78
141000,1314036,19,19,4.83
142000,1314036,19,19,4.82
143000,1314036,19,19,4.76
144000,1314036,19,19,5.04
145000,1314036,19,19,5.1
146000,1314036,19,19,5.02
147000,1314036,19,19,5.07
148000,1314036,19,19,5.22
149000,1314036,19,19,5.1
150000,1314036,19,19,5.15
151000,1314036,19,19,5.27
152000,1314036,19,19,5.22
153000,1314036,19,19,5.2
154000,1314036,19,19,5.1
155000,1314036,19,19,5.16
156000,1314036,19,19,5.07
157000,1314036,19,19,5.13
158000,1314036,19,19,5.14
159000,1314036,19,19,5.16
160000,1314036,19,19,4.73
161000,1314036,19,19,4.79
162000,1314036,19,19,4.76
163000,1314036,19,19,4.84
164000,1314036,19,19,4.8
165000,1314036,19,19,4.88
166000,1314036,19,19,4.99
167000,1314036,19,19,4.85
168000,1314036,19,19,4.86
169000,1314036,19,19,4.98
170000,1314036,19,19,4.82
171000,1314036,19,19,4.85
172000,1314036,19,19,4.87
173000,1314036,19,19,4.88
174000,1314036,19,19,4.83
175000,1314036,19,19,4.78
176000,1314036,19,19,5.03
177000,1314036,19,19,5.13
178000,1314036,19,19,5.03
179000,1314036,19,19,5.11
180000,1314036,19,19,5.2
181000,1314036,19,19,5.13
182000,1314036,19,19,5.15
183000,1314036,19,19,5.26
184000,1314036,19,19,5.29
185000,1314036,19,19,5.16
186000,1314036,19,19,5.24
187000,1314036,19,19,5.12
188000,1314036,19,19,5.2
189000,1314036,19,19,5.15
190000,1314036,19,19,5.1
191000,1314036,19,19,5.08
192000,1314036,19,19,4.91
193000,1314036,19,19,4.99
194000,1314036,19,19,4.93
195000,1314036,19,19,4.93
196000,1314036,19,19,5.0
197000,1314036,19,19,5.0
198000,1314036,19,19,4.97
199000,1314036,19,19,5.04
200000,1314036,19,19,5.23
201000,1314036,19,19,5.02
202000,1314036,19,19,5.2
203000,1314036,19,19,5.05
204000,1314036,19,19,5.1
205000,1314036,19,19,5.08
206000,1314036,19,19,4.99
