# ref_id x y z occupancy n_extra
373090 -62.50986653 1.87302398 -71.36268877 2 1
373168 -67.82745371 5.31424591 -69.69004291 2 1
373171 -62.49378163 3.61176961 -69.63676034 2 1
373173 -60.63488108 3.65441729 -71.27910973 2 1
373174 -58.85473599 5.27237167 -71.29256679 2 1
373176 -60.66319068 5.37455795 -69.50819344 2 1
373245 -67.78311360 7.01277273 71.40231201 2 1
373255 -58.91253511 7.16787528 -69.56846617 2 1
373437 -5.46712130 -12.58869242 -67.69550515 2 1
373513 -7.03928607 -10.71636197 -67.77818275 2 1
373597 -3.57751902 -7.11818306 -67.87067418 2 1
373675 -5.35207711 -3.39941829 -66.08066572 2 1
373735 -23.22954719 0.05538412 -66.10792352 2 1
373751 -8.92091841 0.09239509 -66.19314664 2 1
373753 -7.20622941 0.02771937 -67.90153801 2 1
373769 -64.23150053 3.68883553 -67.79730798 2 1
373770 -62.45801124 5.34751397 -67.90095286 2 1
373847 -65.89797529 7.16981409 -66.01457928 2 1
373851 -62.55040232 7.08972162 -66.06041453 2 1
373853 -60.72898920 7.07957726 -67.81416127 2 1
373854 -58.80269398 8.86369184 -67.78411015 2 1
373860 -57.12753428 8.96649614 -66.00234705 2 1
373931 -62.41083625 10.68094408 -66.06045561 2 1
374180 -21.35261513 -5.30496064 -62.61228929 2 1
374270 -8.92644788 -1.86177539 -64.31181245 2 1
374347 -12.38057458 0.16335850 -62.35826624 2 1
374371 -62.60734625 3.65222483 -62.51540289 2 1
374440 -3.60032219 5.26823454 -62.35647204 2 1
374445 -67.82570838 7.20652730 -64.26505805 2 1
374447 -66.06488654 7.22874774 -62.47339541 2 1
374449 -64.33859509 7.22307329 -64.25127770 2 1
374450 -62.52476915 8.93462764 -64.28477696 2 1
374451 -62.49752612 7.18195357 -62.56865094 2 1
374454 -58.89899429 8.88918042 -64.32949702 2 1
374519 -1.79283734 7.02956213 -62.38991819 2 1
374531 -62.53175763 10.66712725 -62.46128798 2 1
374534 -58.82918911 12.53886160 -64.26478939 2 1
374535 -58.89761321 10.68445542 -62.48942354 2 1
374540 -57.10751349 12.53231534 -62.46299746 2 1
374958 -1.81022027 1.88335255 -60.58845179 2 1
374976 -60.74465511 5.36918912 -58.90421578 2 1
375046 -66.03833500 8.93765607 -60.63387540 2 1
375048 -67.86534830 8.98802872 -58.90086771 2 1
375050 -62.51239385 8.91516057 -60.76108466 2 1
375060 -57.19632091 8.97038043 -58.88541221 2 1
375131 -62.47674628 10.71234062 -58.82950782 2 1
375133 -60.85277499 10.79932342 -60.67240643 2 1
375134 -58.99493092 12.47946354 -60.64196536 2 1
375138 -55.35576262 12.51863861 -60.68252628 2 1
375140 -57.17552998 12.56758068 -59.01906821 2 1
375647 -66.07264036 7.22375513 -55.33343558 2 1
375649 -64.33635157 7.29330287 -57.00565787 2 1
375651 -62.44114739 7.21476460 -55.27133424 2 1
375653 -60.77089018 7.22070773 -57.07642293 2 1
375655 -58.99106743 7.13751797 -55.26871959 2 1
375657 -57.20505767 7.20795658 -57.15907661 2 1
375660 -57.11949303 8.96027357 -55.32606796 2 1
375719 -1.93524289 7.08296454 -55.28981849 2 1
375721 -71.47703646 10.69398471 -57.05029820 2 1
375737 -57.18577653 10.83888245 -57.26687747 2 1
375994 -5.39796086 -5.31758555 -53.54077194 2 1
376000 -3.59636181 -5.33400086 -51.63386366 2 1
376066 -12.53662806 -1.68446716 -53.55221171 2 1
376068 -14.34182109 -1.72714912 -51.83216878 2 1
376079 -1.87255653 -3.41597432 -51.77991788 2 1
376141 -17.91526841 -0.01226836 -53.45951996 2 1
376228 -14.30562967 5.51690317 -51.75363311 2 1
376244 -71.32287926 8.92655170 -51.70813610 2 1
376245 -67.84257051 7.28857697 -53.54374030 2 1
376248 -67.86850306 8.93528320 -51.68466617 2 1
376249 -64.44208725 7.27386211 -53.53923210 2 1
376251 -62.57329917 7.10517745 -51.70230526 2 1
376253 -60.77882716 7.14476982 -53.42861850 2 1
376254 -58.97208915 8.88919558 -53.44974696 2 1
376256 -60.74216430 8.88437479 -51.59567841 2 1
376311 -8.93839226 7.20935376 -51.87670569 2 1
376518 -1.87200436 -8.92534849 -49.99347658 2 1
