# id type pc1 pc2 pc3 dist_to_ref defect_type
91 1 -0.09730825 -0.04060097 -0.00098339 0.10793556 Lattice
92 1 -0.10400904 -0.04921340 0.02317104 0.11878544 Lattice
93 1 -0.10813422 -0.05323281 0.02064460 0.12265003 Lattice
94 1 -0.09759643 -0.06083077 0.01455378 0.11696673 Lattice
95 1 0.29149055 -0.23306650 0.19748526 1.09527567 Unknown
96 1 -0.10246402 -0.04872403 0.02885740 0.12051902 Lattice
97 1 -0.07050286 -0.02285722 -0.02489879 0.08729738 Lattice
98 1 -0.09867386 -0.03205811 0.00018905 0.10527350 Lattice
99 1 -0.10491071 -0.04457643 0.01309347 0.11479566 Lattice
100 1 -0.10733799 -0.04926205 0.01496909 0.11922523 Lattice
101 1 -0.10023923 -0.04376082 0.01765910 0.11185083 Lattice
102 1 -0.09883883 -0.03528625 0.02046178 0.10850058 Lattice
103 1 -0.10790093 -0.05374885 0.02490649 0.12466183 Lattice
104 1 -0.10749061 -0.05447598 0.02060221 0.12252627 Lattice
105 1 0.34999046 -0.27918078 0.11497952 0.61571639 Unknown
106 1 -0.10607950 -0.04434964 0.01203966 0.11572121 Lattice
107 1 -0.10501624 -0.03987851 0.00688816 0.11322014 Lattice
108 1 -0.10584438 -0.04067917 0.00490050 0.11476689 Lattice
109 1 -0.10655790 -0.04757300 0.01497429 0.11771318 Lattice
110 1 -0.10332520 -0.05661215 0.01566217 0.11915909 Lattice
111 1 -0.09319411 -0.03051790 0.00708354 0.09867751 Lattice
112 1 -0.10092918 -0.03753162 0.01452730 0.11055548 Lattice
113 1 -0.09946504 -0.07779019 0.03469990 0.13466511 Lattice
114 1 -0.10311790 -0.03589868 0.00031051 0.11112690 Lattice
115 1 -0.04478032 -0.02265730 -0.02698318 0.07026889 Lattice
116 1 -0.10329271 -0.05566685 0.02442364 0.12100397 Lattice
117 1 -0.10317643 -0.03816913 0.00467330 0.11085679 Lattice
118 1 -0.10429132 -0.04243433 0.01940034 0.11565189 Lattice
119 1 0.21027619 -0.23732944 0.11861655 0.46275884 Unknown
120 1 -0.04353148 -0.02454823 -0.00089791 0.06094940 Lattice
121 1 -0.10648625 -0.04590484 0.01053617 0.11677234 Lattice
122 1 -0.09755867 -0.02918560 -0.00634950 0.10553204 Lattice
123 1 -0.10580870 -0.04537459 0.01640013 0.11646321 Lattice
124 1 -0.07012307 -0.01402058 -0.03084789 0.09089229 Lattice
125 1 -0.09860109 -0.06402881 0.02753613 0.12340020 Lattice
126 1 -0.10081188 -0.04403761 0.00673582 0.11126429 Lattice
127 1 -0.10525251 -0.04727566 0.02447478 0.12128436 Lattice
128 1 -0.10260223 -0.04104367 0.01359820 0.11222213 Lattice
129 1 -0.10489887 -0.04559563 0.01707996 0.11634540 Lattice
130 1 -0.07919230 -0.00868673 0.01681063 0.08536764 Lattice
131 1 -0.08866417 -0.03406704 -0.01262307 0.10169462 Lattice
132 1 0.68522989 -0.06457981 0.12187355 0.83859748 Unknown
133 1 0.22455222 -0.07966467 0.21849367 0.94026165 Unknown
134 1 -0.10144079 -0.03594890 -0.00080824 0.11026142 Lattice
135 1 -0.10091973 -0.03047479 0.00474805 0.10621216 Lattice
136 1 -0.09397855 -0.06548677 0.01990525 0.11758571 Lattice
137 1 0.57117749 -0.17129320 0.11644788 0.74754949 Unknown
138 1 -0.09951581 -0.04016912 0.00279380 0.11192285 Lattice
139 1 0.24754919 -0.22004479 0.18418781 1.22558353 Unknown
140 1 -0.10111682 -0.04520192 0.00547176 0.11254583 Lattice
141 1 -0.10465253 -0.04402603 0.02047862 0.11721456 Lattice
142 1 0.13764597 -0.13607511 -0.00711978 0.26487893 Unknown
143 1 -0.10712104 -0.04637620 0.01389651 0.11764554 Lattice
144 1 -0.07399428 -0.02632310 -0.00419220 0.08757007 Lattice
145 1 -0.10464637 -0.04259830 0.02009508 0.11596574 Lattice
146 1 -0.10307818 -0.03647242 0.00393493 0.11092232 Lattice
147 1 -0.10702123 -0.04399170 0.00904498 0.11670589 Lattice
148 1 -0.10297170 -0.04303559 0.01301164 0.11290700 Lattice
149 1 -0.10755505 -0.04522057 0.00910981 0.11785598 Lattice
150 1 -0.09208971 -0.06708991 0.01905656 0.11687072 Lattice
151 1 -0.10650765 -0.04159049 0.00484430 0.11598620 Lattice
152 1 -0.10202016 -0.04721462 0.02870256 0.12123650 Lattice
153 1 -0.09993209 -0.03333197 0.00507830 0.10595097 Lattice
154 1 0.31211019 -0.10517155 -0.07377952 0.45963584 Unknown
155 1 -0.10380346 -0.05503084 0.01394841 0.12122503 Lattice
156 1 -0.10467352 -0.04753230 0.01059201 0.11585762 Lattice
157 1 0.06793485 -0.09285039 0.11501910 0.36736195 Unknown
158 1 -0.10613653 -0.04840090 0.02507272 0.12256419 Lattice
159 1 -0.09329568 -0.03767358 0.00835794 0.10496021 Lattice
160 1 -0.08760385 -0.07961825 0.02269544 0.12383454 Lattice
161 1 0.22885692 -0.12846606 -0.00755692 0.39680347 Unknown
162 1 -0.10301278 -0.04777764 0.01576265 0.11493909 Lattice
163 1 -0.10729337 -0.04389551 0.00597547 0.11773959 Lattice
164 1 -0.10820791 -0.04839425 0.01703023 0.11985496 Lattice
165 1 -0.10059186 -0.05516032 0.01750641 0.11784220 Lattice
166 1 -0.10342847 -0.03836425 0.00878120 0.11091394 Lattice
167 1 -0.09807875 -0.07023718 0.02989156 0.12703963 Lattice
168 1 -0.10510832 -0.04099585 0.00645194 0.11383445 Lattice
169 1 -0.10617836 -0.05031872 0.01668765 0.11882778 Lattice
170 1 -0.10709408 -0.04508000 0.00480770 0.11884597 Lattice
171 1 -0.10146604 -0.06051369 0.02021806 0.12040490 Lattice
