# id type pc1 pc2 dist_to_ref defect_type
114 1 -0.00605243 -0.01021631 0.01226720 Lattice
115 1 0.00064841 -0.00084491 0.00722766 Lattice
116 1 0.00186123 0.00225789 0.00536130 Lattice
117 1 -0.02485112 -0.03882847 0.04663335 Lattice
118 1 -0.00901720 -0.01637960 0.01995475 Lattice
119 1 -0.00734063 -0.01426475 0.01783666 Lattice
120 1 -0.00898094 -0.01550570 0.01924913 Lattice
121 1 -0.00981978 -0.01720652 0.02119168 Lattice
122 1 0.00938117 0.01332513 0.01776850 Lattice
123 1 -0.00188974 -0.00379622 0.00569003 Lattice
124 1 0.00541997 0.00667061 0.01001311 Lattice
125 1 0.00284705 0.00238922 0.00715472 Lattice
126 1 0.01510897 0.02082063 0.02947989 Lattice
127 1 -0.00264283 -0.00480259 0.00657116 Lattice
128 1 -0.00109494 -0.00469752 0.00896077 Lattice
129 1 -0.00095992 -0.00212129 0.00720975 Lattice
130 1 0.00467520 0.00508093 0.00990816 Lattice
131 1 -0.00037162 -0.00330094 0.00757491 Lattice
132 1 -0.00759019 -0.01219725 0.01560469 Lattice
133 1 0.00945017 0.00894183 0.02175271 Lattice
134 1 0.00544225 0.00595333 0.00972302 Lattice
135 1 -0.01717841 -0.02852566 0.03446964 Lattice
136 1 0.00077044 -0.00302112 0.01404731 Lattice
137 1 -0.01800622 -0.03009105 0.03621779 Lattice
138 1 -0.00670872 -0.01374164 0.01781043 Lattice
139 1 -0.00994016 -0.01892390 0.02540898 Lattice
140 1 -0.00359488 -0.00897336 0.01482957 Lattice
141 1 0.01127629 0.01619114 0.02241187 Lattice
142 1 0.00902014 0.01033919 0.01960487 Lattice
143 1 0.00793803 0.01157212 0.01447092 Lattice
144 1 0.00773920 0.00871998 0.01724600 Lattice
145 1 0.00460130 0.00297030 0.01207970 Lattice
146 1 -0.00837894 -0.01294195 0.01642106 Lattice
147 1 0.00286765 0.00186358 0.00807336 Lattice
148 1 -0.00555806 -0.00943661 0.01196334 Lattice
149 1 0.01628890 0.02534823 0.03100523 Lattice
150 1 0.00866315 0.01218914 0.01589743 Lattice
151 1 0.00825039 0.01164932 0.01521198 Lattice
152 1 0.00840071 0.01032295 0.01593596 Lattice
153 1 0.00814569 0.01176283 0.01478070 Lattice
154 1 0.01955709 0.02937820 0.03610550 Lattice
155 1 0.02273594 0.03344769 0.04122161 Lattice
156 1 0.00484566 0.00740902 0.00989098 Lattice
157 1 0.01586353 0.02295443 0.02896878 Lattice
158 1 -0.00587854 -0.01170060 0.01441078 Lattice
159 1 0.00458744 0.00592302 0.00967074 Lattice
160 1 0.01104774 0.01590108 0.02124118 Lattice
161 1 0.00589367 0.00765084 0.01065545 Lattice
162 1 0.00350946 0.00310705 0.01123576 Lattice
163 1 0.01113580 0.01514028 0.01990690 Lattice
164 1 -0.00961432 -0.01600802 0.01915634 Lattice
165 1 -0.00468039 -0.00841994 0.01224127 Lattice
166 1 0.00517409 0.00721526 0.00935459 Lattice
167 1 -0.00751710 -0.01300354 0.01677626 Lattice
168 1 0.01171599 0.01671433 0.02259517 Lattice
169 1 0.00755446 0.00903063 0.01536623 Lattice
170 1 -0.00134637 -0.00438540 0.00979757 Lattice
171 1 0.00285584 0.00193050 0.00896010 Lattice
172 1 -0.00001462 -0.00090570 0.00430806 Lattice
173 1 0.00573324 0.00607394 0.01157900 Lattice
174 1 -0.01814590 -0.02791584 0.03497169 Lattice
175 1 0.00904756 0.01078913 0.01706703 Lattice
176 1 -0.00610194 -0.01147121 0.01438548 Lattice
177 1 0.00665639 0.00934793 0.01251937 Lattice
178 1 0.00434870 0.00208317 0.01102765 Lattice
179 1 0.00534830 0.00583993 0.01030104 Lattice
180 1 -0.00053458 -0.00195251 0.00464728 Lattice
181 1 -0.00090972 -0.00163901 0.00640214 Lattice
182 1 0.01966521 0.02814935 0.03528869 Lattice
183 1 0.00622150 0.00816128 0.01300329 Lattice
184 1 0.00793500 0.00991818 0.01469062 Lattice
185 1 0.00058751 -0.00044667 0.00784424 Lattice
186 1 -0.01577991 -0.02900248 0.03467082 Lattice
187 1 -0.01730494 -0.02858936 0.03443601 Lattice
188 1 0.01561604 0.02325168 0.02926396 Lattice
189 1 -0.00908744 -0.01805935 0.02292634 Lattice
190 1 -0.00775161 -0.01413846 0.01777516 Lattice
191 1 0.02256160 0.03265166 0.04083682 Lattice
192 1 -0.01563800 -0.02700471 0.03246978 Lattice
193 1 0.01066654 0.01539006 0.01900587 Lattice
194 1 0.00358683 0.00305880 0.00922883 Lattice
195 1 0.00737161 0.01081394 0.01396333 Lattice
196 1 0.00383125 0.00482096 0.00803416 Lattice
197 1 0.00810199 0.01135364 0.01554318 Lattice
198 1 -0.01340610 -0.02122271 0.02556417 Lattice
199 1 -0.00741175 -0.01184761 0.01428936 Lattice
200 1 0.00018058 -0.00097361 0.00415341 Lattice
201 1 -0.00947076 -0.01618977 0.01942355 Lattice
202 1 -0.00659937 -0.01068269 0.01282827 Lattice
203 1 0.00289655 0.00363708 0.00508360 Lattice
204 1 0.00745044 0.01115424 0.01425282 Lattice
205 1 -0.00362184 -0.00706954 0.00912860 Lattice
206 1 -0.01478949 -0.02411606 0.02882879 Lattice
207 1 -0.00137025 -0.00434534 0.00749369 Lattice
208 1 -0.00745156 -0.01172130 0.01458517 Lattice
209 1 -0.00102945 -0.00596634 0.01258326 Lattice
210 1 0.00550341 0.00577454 0.01352750 Lattice
211 1 0.00186165 0.00013419 0.00706599 Lattice
212 1 -0.00411914 -0.00974808 0.01523447 Lattice
213 1 0.01193883 0.01770076 0.02263151 Lattice
214 1 0.02603172 0.03842803 0.04734432 Lattice
215 1 0.02131847 0.03151807 0.03871652 Lattice
216 1 -0.00028881 -0.00150414 0.00383955 Lattice
217 1 -0.00770363 -0.01294322 0.01554557 Lattice
218 1 -0.00449151 -0.00988875 0.01463261 Lattice
219 1 0.00022835 -0.00061472 0.00749281 Lattice
220 1 0.01723147 0.02584463 0.03215169 Lattice
221 1 0.00974377 0.01190359 0.01894335 Lattice
222 1 0.00981097 0.01282438 0.01881977 Lattice
223 1 -0.00653873 -0.01375448 0.01752453 Lattice
224 1 -0.00210404 -0.00669151 0.01040215 Lattice
225 1 0.00185637 0.00165132 0.00802925 Lattice
226 1 0.00448410 0.00529981 0.00844790 Lattice
227 1 0.00053071 -0.00042004 0.00359345 Lattice
228 1 0.00825669 0.00928707 0.01720594 Lattice
229 1 -0.00588688 -0.01011084 0.01208860 Lattice
230 1 -0.02037071 -0.03218581 0.03871902 Lattice
231 1 -0.00437684 -0.00781785 0.01154567 Lattice
232 1 -0.00941341 -0.01599200 0.01964454 Lattice
233 1 0.00042338 -0.00296109 0.00907320 Lattice
234 1 0.01581446 0.02392383 0.02924875 Lattice
235 1 0.00850444 0.01002112 0.01701498 Lattice
236 1 0.00246962 0.00247399 0.00698689 Lattice
237 1 -0.01223922 -0.02156733 0.02739574 Lattice
238 1 0.02081377 0.02903606 0.03691687 Lattice
239 1 0.00680483 0.00959138 0.01201600 Lattice
240 1 0.01136574 0.01544298 0.02011891 Lattice
241 1 -0.00291033 -0.00677470 0.00870664 Lattice
242 1 0.00712321 0.00949876 0.01423716 Lattice
243 1 0.01708990 0.02467864 0.03106449 Lattice
244 1 0.00669528 0.00803794 0.01325945 Lattice
245 1 0.00769039 0.00964867 0.01409196 Lattice
246 1 0.01542623 0.02199521 0.02847480 Lattice
247 1 0.01469341 0.02030001 0.02678880 Lattice
248 1 0.00549220 0.00541174 0.01512016 Lattice
249 1 0.01213133 0.01736028 0.02285139 Lattice
250 1 0.00098130 -0.00173982 0.01454880 Lattice
251 1 -0.00378105 -0.00646639 0.00802180 Lattice
252 1 -0.01489091 -0.02661407 0.03226002 Lattice
253 1 -0.00462381 -0.00908340 0.01158765 Lattice
254 1 -0.02314265 -0.03572404 0.04385920 Lattice
255 1 0.00734299 0.00872583 0.01561804 Lattice
256 1 -0.00975986 -0.01608618 0.01933300 Lattice
257 1 0.00123647 -0.00298870 0.01520105 Lattice
258 1 0.00355604 0.00232731 0.01055455 Lattice
259 1 -0.00952727 -0.01480855 0.01834407 Lattice
260 1 0.00349541 0.00373554 0.00894868 Lattice
261 1 -0.00556986 -0.01213867 0.01622135 Lattice
262 1 0.00094646 0.00045018 0.00442539 Lattice
263 1 -0.00478258 -0.01055660 0.01442886 Lattice
264 1 -0.00225840 -0.00478405 0.00968949 Lattice
265 1 0.00507323 0.00694204 0.00936550 Lattice
266 1 0.00511219 0.00727535 0.01029185 Lattice
267 1 0.01141785 0.01444876 0.02192799 Lattice
268 1 -0.01346162 -0.02222950 0.02650672 Lattice
269 1 -0.00351793 -0.00562007 0.00755318 Lattice
270 1 -0.00326131 -0.00597481 0.00964170 Lattice
271 1 -0.00581668 -0.00936959 0.01208695 Lattice
272 1 -0.01010238 -0.01701916 0.02034929 Lattice
273 1 0.00882712 0.01221875 0.01592900 Lattice
274 1 0.01086599 0.01504868 0.02082089 Lattice
275 1 0.00306983 0.00174382 0.00978123 Lattice
276 1 0.00905577 0.01246815 0.01696724 Lattice
277 1 -0.00068219 -0.00296214 0.00794647 Lattice
278 1 -0.01266365 -0.02051381 0.02503644 Lattice
279 1 -0.01503359 -0.02595615 0.03125179 Lattice
280 1 -0.01649043 -0.02668145 0.03192353 Lattice
281 1 0.01931452 0.02751187 0.03640050 Lattice
282 1 -0.00837111 -0.01369372 0.01658814 Lattice
283 1 -0.00770091 -0.01300992 0.01681741 Lattice
284 1 -0.00230185 -0.00448941 0.00570078 Lattice
