# x y z d_near_max n_grid_pts
-0.74905303 -54.18420967 -25.21855716 2.32777363 7
-5.74273988 -59.17814604 49.68804827 2.32734627 6
5.74273988 2.24727137 -15.73038714 2.32530677 11
5.24337119 24.71998506 1.24844342 2.32524389 7
10.73642672 4.24484592 -34.20734981 2.32519309 10
17.72758831 -14.73211231 -41.69801036 2.32464776 9
37.20296702 10.23756957 37.70299140 2.32315955 6
-15.73011357 -4.24484592 -21.72291557 2.32262575 8
-11.73516409 51.18784784 55.18119933 2.32131232 11
3.74526514 -1.24848409 -28.71419875 2.32010012 5
6.24210856 3.24605864 68.66438831 2.31790559 14
7.74021461 7.24120774 16.22976451 2.31773742 8
2.24715908 6.74181411 46.69178405 2.31672526 10
-7.74021461 -57.67996513 -43.19614246 2.31234085 6
3.24589645 -41.19997509 44.69427457 2.30786623 5
-15.23074489 8.23999502 -68.16501094 2.30771384 6
28.71369938 19.22665504 -12.73412292 2.30727772 7
-2.74652777 64.17208242 -63.17123725 2.29932525 5
27.71496201 -17.72847413 68.16501094 2.29904618 10
-2.24715908 -52.18663512 -46.69178405 2.29827734 5
8.73895198 4.24484592 -21.22353821 2.29677303 4
-6.74147724 18.72726141 34.20734981 2.29633965 7
-63.66950731 0.74909046 69.66314305 2.29574560 4
2.24715908 26.71755961 38.20236877 2.29567716 5
23.22064384 2.74666501 -52.68431249 2.29551650 7
47.19034071 4.24484592 53.68306723 2.29544216 5
-37.70233570 8.73938866 39.20112351 2.29343768 7
10.73642672 0.24969682 -19.72540610 2.29337765 11
9.73768935 8.73938866 1.24844342 2.29295888 12
-8.23958330 -20.72483596 55.18119933 2.29214118 9
29.71243674 -19.72604868 68.16501094 2.29200267 6
6.24210856 21.22422959 -41.69801036 2.29137495 6
-20.72380042 22.72241051 -2.24719816 2.29000736 8
-12.23453278 -4.24484592 21.22353821 2.28958913 8
-2.24715908 39.70179418 30.21233086 2.28772836 6
6.24210856 -12.23514412 12.23474555 2.28619713 7
